"year","Water_Type","WF_Crop","imports_km3","exports_km3","net_trade_km3"
2000,"Green_Irrigated","Rice",1.37491439932903e-07,0.000493737119952803,-0.00049359962851287
2000,"Blue_Irrigated","Tropical Roots",2.09729589435073e-07,0.000434070347461722,-0.000433860617872287
1998,"Green_Rainfed","Tropical Roots",1.8151675246877e-06,0.000380524039490046,-0.000378708871965359
1996,"Green_Rainfed","Tropical Roots",6.15714782468665e-08,0.000331325525964694,-0.000331263954486447
1998,"Green_Irrigated","Sunflower",0.000471402891916752,0.00079892626615224,-0.000327523374235488
1997,"Green_Rainfed","Tropical Roots",0,0.000305621039281964,-0.000305621039281964
1998,"Blue_Irrigated","Rice",1.5483708580054e-06,0.000257076283514243,-0.000255527912656238
1997,"Blue_Irrigated","Rice",0,0.000228945103500498,-0.000228945103500498
1999,"Blue_Irrigated","Tropical Roots",0,0.000218464298076896,-0.000218464298076896
2000,"Green_Irrigated","Tropical Roots",2.59961702121799e-07,0.000218322936644876,-0.000218062974942754
1998,"Green_Irrigated","Rice",6.29499808762104e-07,0.000216437915509351,-0.000215808415700589
1997,"Green_Rainfed","Rice",0,0.000197419681440262,-0.000197419681440262
1997,"Green_Irrigated","Rice",0,0.00019704530943759,-0.00019704530943759
1998,"Green_Rainfed","Rice",2.89210607727631e-05,0.000221955873213996,-0.000193034812441233
1998,"Blue_Irrigated","Tropical Roots",3.37406358348016e-06,0.000154275680705312,-0.000150901617121831
1996,"Blue_Irrigated","Tropical Roots",1.18115277980351e-07,0.000133917278010084,-0.000133799162732104
1999,"Green_Irrigated","Tropical Roots",0,0.000126516954369659,-0.000126516954369659
1996,"Blue_Irrigated","Rice",0,0.000122869421889609,-0.000122869421889609
1997,"Blue_Irrigated","Tropical Roots",0,0.000115792407036814,-0.000115792407036814
1996,"Green_Rainfed","Rice",0,0.00010731367660524,-0.00010731367660524
1996,"Green_Irrigated","Rice",0,0.000105856095902615,-0.000105856095902615
1998,"Green_Irrigated","Tropical Roots",4.75807904622408e-06,9.18554384400048e-05,-8.70973593937807e-05
1996,"Green_Irrigated","Tropical Roots",1.65040716480167e-07,8.09718111447371e-05,-8.08067704282569e-05
1997,"Green_Irrigated","Tropical Roots",0,7.64901082083209e-05,-7.64901082083209e-05
1997,"Green_Rainfed","Sugar",0,1.04113112012518e-05,-1.04113112012518e-05
1999,"Green_Rainfed","Sugar",0,7.2803278644003e-06,-7.2803278644003e-06
1998,"Green_Rainfed","Sugar",4.53545473369488e-07,7.42343196099392e-06,-6.96988648762444e-06
1996,"Green_Rainfed","Sugar",0,5.23741643678647e-06,-5.23741643678647e-06
2000,"Green_Rainfed","Sugar",8.31313940188307e-08,2.23946542501937e-06,-2.15633403100054e-06
