Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Greenland,GRL,..,1.931952834,1.924541116,1.947082162,1.964210629,1.927581429,1.936508656,1.887186527,1.910476446,1.877370477,1.565969229
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Grenada,GRD,1.019257665,0.426174343,0.774568856,0.779747725,0.998592257,0.992373705,0.968616605,0.937967896,1.03254509,1.040163636,1.043798447
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Guam,GUM,..,0.798485518,0.750133276,0.786707044,0.652095139,0.678459287,0.697025716,0.883918047,0.888366282,0.877565145,0.808528244
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Guatemala,GTM,-0.768333912,-0.674156249,-0.655563533,-0.6544379,-0.545003712,-0.651365459,-0.538192272,-0.577349424,-0.415842652,-0.395547092,-0.304971337
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Guinea,GIN,-1.907590032,-1.229851723,-0.955242753,-0.386475414,-0.396070927,-0.69907409,-0.880607545,-0.84259665,-0.669287205,-0.939894259,-0.864391387
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Guinea-Bissau,GNB,-0.349449873,-0.899927616,-0.706451654,-0.516579092,-0.445275575,-0.497683495,-0.684850454,-0.561577141,-0.721676052,-0.280024618,-0.394830406
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Guyana,GUY,-0.486819774,-0.456606746,-0.136097595,-0.139641345,-0.034218926,-0.049440727,-0.191917717,-0.254104406,-0.137580603,-0.137163654,0.027062163
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Haiti,HTI,-0.628624499,-0.63101536,-0.643627286,-0.671565056,-0.745547473,-0.676077306,-0.640176177,-0.887624741,-1.027478695,-1.128099442,-1.406295657
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Honduras,HND,-0.078596383,-0.438611597,-0.534083962,-0.472757906,-0.437456161,-0.565637231,-0.531866431,-0.569066167,-0.448519617,-0.627824068,-0.552035332
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,"Hong Kong SAR, China",HKG,0.93515718,0.922868311,1.153228521,1.035205364,0.736158371,0.818202198,0.776450574,-0.228379548,0.05667685,0.263209611,0.61155504
